variable_name,length,position,question_name,concept,question_text,universe,note,source,answer_categories_json
AGECXRYG,2.0,27,,Age of respondent's youngest child in household,,CXRFLAG = 1,"Includes birth, adopted or step-children.","General Social Survey, Caregiving and Care Receiving, 2018.","[{""variable_name"": ""AGECXRYG"", ""label"": ""0 to 4 years"", ""code"": ""01"", ""frequency"": ""1391"", ""weighted_frequency"": ""2889422"", ""percent"": ""9.4""}, {""variable_name"": ""AGECXRYG"", ""label"": ""5 to 9 years"", ""code"": ""02"", ""frequency"": ""1100"", ""weighted_frequency"": ""1861330"", ""percent"": ""6.1""}, {""variable_name"": ""AGECXRYG"", ""label"": ""10 to 14 years"", ""code"": ""03"", ""frequency"": ""994"", ""weighted_frequency"": ""1777044"", ""percent"": ""5.8""}, {""variable_name"": ""AGECXRYG"", ""label"": ""15 to 19 years"", ""code"": ""04"", ""frequency"": ""711"", ""weighted_frequency"": ""1758841"", ""percent"": ""5.7""}, {""variable_name"": ""AGECXRYG"", ""label"": ""20 to 24 years"", ""code"": ""05"", ""frequency"": ""638"", ""weighted_frequency"": ""1336947"", ""percent"": ""4.3""}, {""variable_name"": ""AGECXRYG"", ""label"": ""25 years and older"", ""code"": ""06"", ""frequency"": ""1077"", ""weighted_frequency"": ""2039349"", ""percent"": ""6.6""}, {""variable_name"": ""AGECXRYG"", ""label"": ""Valid skip"", ""code"": ""96"", ""frequency"": ""14347"", ""weighted_frequency"": ""19092251"", ""percent"": ""62.1""}, {""variable_name"": ""AGECXRYG"", ""label"": ""Don't know"", ""code"": ""97"", ""frequency"": ""0"", ""weighted_frequency"": ""0"", ""percent"": ""0""}, {""variable_name"": ""AGECXRYG"", ""label"": ""Refusal"", ""code"": ""98"", ""frequency"": ""0"", ""weighted_frequency"": ""0"", ""percent"": ""0""}, {""variable_name"": ""AGECXRYG"", ""label"": ""Not stated"", ""code"": ""99"", ""frequency"": ""0"", ""weighted_frequency"": ""0"", ""percent"": ""0""}]"
AGEHSDYC,2.0,29,,Age of youngest household member in respondent's household,,All respondents,This variable is capped at 85 years.,"General Social Survey, Caregiving and Care Receiving, 2018, derived from RRS2_Q15C.","[{""variable_name"": ""AGEHSDYC"", ""label"": ""0 to 84 years"", ""code"": ""00 - 84"", ""frequency"": ""19730"", ""weighted_frequency"": ""30319013"", ""percent"": ""98.6""}, {""variable_name"": ""AGEHSDYC"", ""label"": ""85 years and over"", ""code"": ""85"", ""frequency"": ""528"", ""weighted_frequency"": ""436172"", ""percent"": ""1.4""}, {""variable_name"": ""AGEHSDYC"", ""label"": ""Valid skip"", ""code"": ""96"", ""frequency"": ""0"", ""weighted_frequency"": ""0"", ""percent"": ""0""}, {""variable_name"": ""AGEHSDYC"", ""label"": ""Don't know"", ""code"": ""97"", ""frequency"": ""0"", ""weighted_frequency"": ""0"", ""percent"": ""0""}, {""variable_name"": ""AGEHSDYC"", ""label"": ""Refusal"", ""code"": ""98"", ""frequency"": ""0"", ""weighted_frequency"": ""0"", ""percent"": ""0""}, {""variable_name"": ""AGEHSDYC"", ""label"": ""Not stated"", ""code"": ""99"", ""frequency"": ""0"", ""weighted_frequency"": ""0"", ""percent"": ""0""}]"
CXRFLAG,1.0,31,,Respondent's child(ren) in household,,All respondents,"Includes birth, adopted or step-children.","General Social Survey, Caregiving and Care Receiving, 2018, derived from the house-
hold roster.","[{""variable_name"": ""CXRFLAG"", ""label"": ""Y es"", ""code"": ""1"", ""frequency"": ""5911"", ""weighted_frequency"": ""11662933"", ""percent"": ""37.9""}, {""variable_name"": ""CXRFLAG"", ""label"": ""No"", ""code"": ""2"", ""frequency"": ""14347"", ""weighted_frequency"": ""19092251"", ""percent"": ""62.1""}, {""variable_name"": ""CXRFLAG"", ""label"": ""Valid skip"", ""code"": ""6"", ""frequency"": ""0"", ""weighted_frequency"": ""0"", ""percent"": ""0""}, {""variable_name"": ""CXRFLAG"", ""label"": ""Don't know"", ""code"": ""7"", ""frequency"": ""0"", ""weighted_frequency"": ""0"", ""percent"": ""0""}, {""variable_name"": ""CXRFLAG"", ""label"": ""Refusal"", ""code"": ""8"", ""frequency"": ""0"", ""weighted_frequency"": ""0"", ""percent"": ""0""}, {""variable_name"": ""CXRFLAG"", ""label"": ""Not stated"", ""code"": ""9"", ""frequency"": ""0"", ""weighted_frequency"": ""0"", ""percent"": ""0""}]"
CHRNHSDC,1.0,32,,Number of respondent's child(ren) living in the household,,All respondents.,"Includes birth, adopted and step-children children.","General Social Survey, Caregiving and Care Receiving, 2018, derived from the house-
hold roster.","[{""variable_name"": ""CHRNHSDC"", ""label"": ""None"", ""code"": ""0"", ""frequency"": ""14345"", ""weighted_frequency"": ""19089444"", ""percent"": ""62.1""}, {""variable_name"": ""CHRNHSDC"", ""label"": ""One"", ""code"": ""1"", ""frequency"": ""2776"", ""weighted_frequency"": ""4645783"", ""percent"": ""15.1""}, {""variable_name"": ""CHRNHSDC"", ""label"": ""Two"", ""code"": ""2"", ""frequency"": ""2295"", ""weighted_frequency"": ""4708098"", ""percent"": ""15.3""}, {""variable_name"": ""CHRNHSDC"", ""label"": ""Three"", ""code"": ""3"", ""frequency"": ""675"", ""weighted_frequency"": ""1782828"", ""percent"": ""5.8""}, {""variable_name"": ""CHRNHSDC"", ""label"": ""Four"", ""code"": ""4"", ""frequency"": ""120"", ""weighted_frequency"": ""370953"", ""percent"": ""1.2""}, {""variable_name"": ""CHRNHSDC"", ""label"": ""Five or more children"", ""code"": ""5"", ""frequency"": ""47"", ""weighted_frequency"": ""158078"", ""percent"": ""0.5""}, {""variable_name"": ""CHRNHSDC"", ""label"": ""Valid skip"", ""code"": ""6"", ""frequency"": ""0"", ""weighted_frequency"": ""0"", ""percent"": ""0""}, {""variable_name"": ""CHRNHSDC"", ""label"": ""Don't know"", ""code"": ""7"", ""frequency"": ""0"", ""weighted_frequency"": ""0"", ""percent"": ""0""}, {""variable_name"": ""CHRNHSDC"", ""label"": ""Refusal"", ""code"": ""8"", ""frequency"": ""0"", ""weighted_frequency"": ""0"", ""percent"": ""0""}, {""variable_name"": ""CHRNHSDC"", ""label"": ""Not stated"", ""code"": ""9"", ""frequency"": ""0"", ""weighted_frequency"": ""0"", ""percent"": ""0""}]"
CXRTIME6,2.0,33,,Age group of respondent's children in household,,All respondents,"Includes birth, adopted and step-children.","General Social Survey, Caregiving and Care Receiving, 2018, derived from the house-
hold roster.","[{""variable_name"": ""CXRTIME6"", ""label"": ""No child under 19 years of age at home"", ""code"": ""01"", ""frequency"": ""16192"", ""weighted_frequency"": ""22772876"", ""percent"": ""74.0""}, {""variable_name"": ""CXRTIME6"", ""label"": ""All children under 5 years of age"", ""code"": ""02"", ""frequency"": ""723"", ""weighted_frequency"": ""1532204"", ""percent"": ""5.0""}, {""variable_name"": ""CXRTIME6"", ""label"": ""All children between 5 and 12 years of age"", ""code"": ""03"", ""frequency"": ""1074"", ""weighted_frequency"": ""1593301"", ""percent"": ""5.2""}, {""variable_name"": ""CXRTIME6"", ""label"": ""All children 13 years of age and older"", ""code"": ""04"", ""frequency"": ""845"", ""weighted_frequency"": ""1993427"", ""percent"": ""6.5""}, {""variable_name"": ""CXRTIME6"", ""label"": ""not all children"", ""code"": ""05"", ""frequency"": ""589"", ""weighted_frequency"": ""1298698"", ""percent"": ""4.2""}, {""variable_name"": ""CXRTIME6"", ""label"": ""Other"", ""code"": ""06"", ""frequency"": ""835"", ""weighted_frequency"": ""1564678"", ""percent"": ""5.1""}, {""variable_name"": ""CXRTIME6"", ""label"": ""Valid skip"", ""code"": ""96"", ""frequency"": ""0"", ""weighted_frequency"": ""0"", ""percent"": ""0""}, {""variable_name"": ""CXRTIME6"", ""label"": ""Don't know"", ""code"": ""97"", ""frequency"": ""0"", ""weighted_frequency"": ""0"", ""percent"": ""0""}, {""variable_name"": ""CXRTIME6"", ""label"": ""Refusal"", ""code"": ""98"", ""frequency"": ""0"", ""weighted_frequency"": ""0"", ""percent"": ""0""}, {""variable_name"": ""CXRTIME6"", ""label"": ""Not stated"", ""code"": ""99"", ""frequency"": ""0"", ""weighted_frequency"": ""0"", ""percent"": ""0""}]"
CHH0014C,1.0,35,,Child(ren) in household - 0 to 14 years,,All respondents,"Includes birth, adopted and step-children.","General Social Survey, Caregiving and Care Receiving, 2018, derived from the house-
hold roster.","[{""variable_name"": ""CHH0014C"", ""label"": ""None"", ""code"": ""0"", ""frequency"": ""16309"", ""weighted_frequency"": ""22452423"", ""percent"": ""73.0""}, {""variable_name"": ""CHH0014C"", ""label"": ""One"", ""code"": ""1"", ""frequency"": ""1756"", ""weighted_frequency"": ""3742842"", ""percent"": ""12.2""}, {""variable_name"": ""CHH0014C"", ""label"": ""Two"", ""code"": ""2"", ""frequency"": ""1640"", ""weighted_frequency"": ""3254710"", ""percent"": ""10.6""}, {""variable_name"": ""CHH0014C"", ""label"": ""Three or more"", ""code"": ""3"", ""frequency"": ""553"", ""weighted_frequency"": ""1305210"", ""percent"": ""4.2""}, {""variable_name"": ""CHH0014C"", ""label"": ""Valid skip"", ""code"": ""6"", ""frequency"": ""0"", ""weighted_frequency"": ""0"", ""percent"": ""0""}, {""variable_name"": ""CHH0014C"", ""label"": ""Don't know"", ""code"": ""7"", ""frequency"": ""0"", ""weighted_frequency"": ""0"", ""percent"": ""0""}, {""variable_name"": ""CHH0014C"", ""label"": ""Refusal"", ""code"": ""8"", ""frequency"": ""0"", ""weighted_frequency"": ""0"", ""percent"": ""0""}, {""variable_name"": ""CHH0014C"", ""label"": ""Not stated"", ""code"": ""9"", ""frequency"": ""0"", ""weighted_frequency"": ""0"", ""percent"": ""0""}]"
SENFLAG,1.0,36,,Seniors age 65 and over living in the household,,All respondents,"Includes the relatives and non-relatives of the respondent who are aged 65 or older
living in the household.","General Social Survey, Caregiving and Care Receiving, 2018, derived from the house-
hold roster.","[{""variable_name"": ""SENFLAG"", ""label"": ""Y es"", ""code"": ""1"", ""frequency"": ""7635"", ""weighted_frequency"": ""8803720"", ""percent"": ""28.6""}, {""variable_name"": ""SENFLAG"", ""label"": ""No"", ""code"": ""2"", ""frequency"": ""12623"", ""weighted_frequency"": ""21951465"", ""percent"": ""71.4""}, {""variable_name"": ""SENFLAG"", ""label"": ""Valid skip"", ""code"": ""6"", ""frequency"": ""0"", ""weighted_frequency"": ""0"", ""percent"": ""0""}, {""variable_name"": ""SENFLAG"", ""label"": ""Don't know"", ""code"": ""7"", ""frequency"": ""0"", ""weighted_frequency"": ""0"", ""percent"": ""0""}, {""variable_name"": ""SENFLAG"", ""label"": ""Refusal"", ""code"": ""8"", ""frequency"": ""0"", ""weighted_frequency"": ""0"", ""percent"": ""0""}, {""variable_name"": ""SENFLAG"", ""label"": ""Not stated"", ""code"": ""9"", ""frequency"": ""0"", ""weighted_frequency"": ""0"", ""percent"": ""0""}]"
LIVARR08,2.0,37,,Living arrangement of respondent's household (8 categories),,All respondents,,"General Social Survey, Caregiving and Care Receiving, 2018, derived from the house-
hold roster.","[{""variable_name"": ""LIVARR08"", ""label"": ""parents"", ""code"": ""01"", ""frequency"": ""281"", ""weighted_frequency"": ""785325"", ""percent"": ""2.6""}, {""variable_name"": ""LIVARR08"", ""label"": ""parents"", ""code"": ""02"", ""frequency"": ""504"", ""weighted_frequency"": ""2807487"", ""percent"": ""9.1""}, {""variable_name"": ""LIVARR08"", ""label"": ""only"", ""code"": ""03"", ""frequency"": ""155"", ""weighted_frequency"": ""633083"", ""percent"": ""2.1""}, {""variable_name"": ""LIVARR08"", ""label"": ""only"", ""code"": ""04"", ""frequency"": ""57"", ""weighted_frequency"": ""221171"", ""percent"": ""0.7""}, {""variable_name"": ""LIVARR08"", ""label"": ""parents"", ""code"": ""05"", ""frequency"": ""18526"", ""weighted_frequency"": ""24234886"", ""percent"": ""78.8""}, {""variable_name"": ""LIVARR08"", ""label"": ""parents"", ""code"": ""06"", ""frequency"": ""259"", ""weighted_frequency"": ""1121276"", ""percent"": ""3.6""}, {""variable_name"": ""LIVARR08"", ""label"": ""only"", ""code"": ""07"", ""frequency"": ""378"", ""weighted_frequency"": ""765856"", ""percent"": ""2.5""}, {""variable_name"": ""LIVARR08"", ""label"": ""only"", ""code"": ""08"", ""frequency"": ""98"", ""weighted_frequency"": ""186100"", ""percent"": ""0.6""}, {""variable_name"": ""LIVARR08"", ""label"": ""Valid skip"", ""code"": ""96"", ""frequency"": ""0"", ""weighted_frequency"": ""0"", ""percent"": ""0""}, {""variable_name"": ""LIVARR08"", ""label"": ""Don't know"", ""code"": ""97"", ""frequency"": ""0"", ""weighted_frequency"": ""0"", ""percent"": ""0""}, {""variable_name"": ""LIVARR08"", ""label"": ""Refusal"", ""code"": ""98"", ""frequency"": ""0"", ""weighted_frequency"": ""0"", ""percent"": ""0""}, {""variable_name"": ""LIVARR08"", ""label"": ""Not stated"", ""code"": ""99"", ""frequency"": ""0"", ""weighted_frequency"": ""0"", ""percent"": ""0""}]"
LIVARRSN,1.0,39,,Living arrangement of senior respondent's household,,Age >= 65,,"General Social Survey, Caregiving and Care Receiving, 2018.","[{""variable_name"": ""LIVARRSN"", ""label"": ""Living alone"", ""code"": ""1"", ""frequency"": ""2626"", ""weighted_frequency"": ""1557467"", ""percent"": ""5.1""}, {""variable_name"": ""LIVARRSN"", ""label"": ""Living with spouse or partner only"", ""code"": ""2"", ""frequency"": ""2922"", ""weighted_frequency"": ""3170653"", ""percent"": ""10.3""}, {""variable_name"": ""LIVARRSN"", ""label"": ""child(ren)"", ""code"": ""3"", ""frequency"": ""249"", ""weighted_frequency"": ""645801"", ""percent"": ""2.1""}, {""variable_name"": ""LIVARRSN"", ""label"": ""Living with child(ren) only"", ""code"": ""4"", ""frequency"": ""209"", ""weighted_frequency"": ""340500"", ""percent"": ""1.1""}, {""variable_name"": ""LIVARRSN"", ""label"": ""Living with other(s)"", ""code"": ""5"", ""frequency"": ""359"", ""weighted_frequency"": ""479681"", ""percent"": ""1.6""}, {""variable_name"": ""LIVARRSN"", ""label"": ""Valid skip"", ""code"": ""6"", ""frequency"": ""13893"", ""weighted_frequency"": ""24561083"", ""percent"": ""79.9""}, {""variable_name"": ""LIVARRSN"", ""label"": ""Don't know"", ""code"": ""7"", ""frequency"": ""0"", ""weighted_frequency"": ""0"", ""percent"": ""0""}, {""variable_name"": ""LIVARRSN"", ""label"": ""Refusal"", ""code"": ""8"", ""frequency"": ""0"", ""weighted_frequency"": ""0"", ""percent"": ""0""}, {""variable_name"": ""LIVARRSN"", ""label"": ""Not stated"", ""code"": ""9"", ""frequency"": ""0"", ""weighted_frequency"": ""0"", ""percent"": ""0""}]"
HSDSIZEC,2.0,40,,Number of members in respondent's household 15 years of age or older,,All respondents,,"General Social Survey, Caregiving, Care Receiving, 2018, derived variable from the
household roster.","[{""variable_name"": ""HSDSIZEC"", ""label"": ""One person household"", ""code"": ""01"", ""frequency"": ""5555"", ""weighted_frequency"": ""4174449"", ""percent"": ""13.6""}, {""variable_name"": ""HSDSIZEC"", ""label"": ""Two person household"", ""code"": ""02"", ""frequency"": ""8010"", ""weighted_frequency"": ""9672397"", ""percent"": ""31.4""}, {""variable_name"": ""HSDSIZEC"", ""label"": ""Three person household"", ""code"": ""03"", ""frequency"": ""2917"", ""weighted_frequency"": ""5763519"", ""percent"": ""18.7""}, {""variable_name"": ""HSDSIZEC"", ""label"": ""Four person household"", ""code"": ""04"", ""frequency"": ""2404"", ""weighted_frequency"": ""5851248"", ""percent"": ""19.0""}, {""variable_name"": ""HSDSIZEC"", ""label"": ""Five person household"", ""code"": ""05"", ""frequency"": ""914"", ""weighted_frequency"": ""3106333"", ""percent"": ""10.1""}, {""variable_name"": ""HSDSIZEC"", ""label"": ""Six or more person household"", ""code"": ""06"", ""frequency"": ""458"", ""weighted_frequency"": ""2187239"", ""percent"": ""7.1""}, {""variable_name"": ""HSDSIZEC"", ""label"": ""Valid skip"", ""code"": ""96"", ""frequency"": ""0"", ""weighted_frequency"": ""0"", ""percent"": ""0""}, {""variable_name"": ""HSDSIZEC"", ""label"": ""Don't know"", ""code"": ""97"", ""frequency"": ""0"", ""weighted_frequency"": ""0"", ""percent"": ""0""}, {""variable_name"": ""HSDSIZEC"", ""label"": ""Refusal"", ""code"": ""98"", ""frequency"": ""0"", ""weighted_frequency"": ""0"", ""percent"": ""0""}, {""variable_name"": ""HSDSIZEC"", ""label"": ""Not stated"", ""code"": ""99"", ""frequency"": ""0"", ""weighted_frequency"": ""0"", ""percent"": ""0""}]"
MULTIGEN,1.0,42,,Three generations or more family in respondent's household,,All respondents,,"General Social Survey, Caregiving and Care Receiving, 2018, derived from the house-
hold roster.","[{""variable_name"": ""MULTIGEN"", ""label"": ""Y es"", ""code"": ""1"", ""frequency"": ""465"", ""weighted_frequency"": ""1547807"", ""percent"": ""5.0""}, {""variable_name"": ""MULTIGEN"", ""label"": ""No"", ""code"": ""2"", ""frequency"": ""19793"", ""weighted_frequency"": ""29207377"", ""percent"": ""95.0""}, {""variable_name"": ""MULTIGEN"", ""label"": ""Valid skip"", ""code"": ""6"", ""frequency"": ""0"", ""weighted_frequency"": ""0"", ""percent"": ""0""}, {""variable_name"": ""MULTIGEN"", ""label"": ""Don't know"", ""code"": ""7"", ""frequency"": ""0"", ""weighted_frequency"": ""0"", ""percent"": ""0""}, {""variable_name"": ""MULTIGEN"", ""label"": ""Refusal"", ""code"": ""8"", ""frequency"": ""0"", ""weighted_frequency"": ""0"", ""percent"": ""0""}, {""variable_name"": ""MULTIGEN"", ""label"": ""Not stated"", ""code"": ""9"", ""frequency"": ""0"", ""weighted_frequency"": ""0"", ""percent"": ""0""}]"
LUC_RST,1.0,43,,Population centre indicator,,All respondents,"For the definition of population centre/rural area code, refer to the Postal Code OM
Conversion File Reference Guide (PCCF 2018). An electronic version is available at
www.statcan.gc.ca.","General Social Survey, Caregiving and Care Receiving, 2018, derived from PCODE.","[{""variable_name"": ""LUC_RST"", ""label"": ""Larger urban population centres (CMA/CA)"", ""code"": ""1"", ""frequency"": ""15858"", ""weighted_frequency"": ""25917880"", ""percent"": ""84.3""}, {""variable_name"": ""LUC_RST"", ""label"": ""centres(non CMA/CA)"", ""code"": ""2"", ""frequency"": ""3818"", ""weighted_frequency"": ""4710945"", ""percent"": ""15.3""}, {""variable_name"": ""LUC_RST"", ""label"": ""Prince Edward Island"", ""code"": ""3"", ""frequency"": ""582"", ""weighted_frequency"": ""126360"", ""percent"": ""0.4""}, {""variable_name"": ""LUC_RST"", ""label"": ""Valid skip"", ""code"": ""6"", ""frequency"": ""0"", ""weighted_frequency"": ""0"", ""percent"": ""0""}, {""variable_name"": ""LUC_RST"", ""label"": ""Don't know"", ""code"": ""7"", ""frequency"": ""0"", ""weighted_frequency"": ""0"", ""percent"": ""0""}, {""variable_name"": ""LUC_RST"", ""label"": ""Refusal"", ""code"": ""8"", ""frequency"": ""0"", ""weighted_frequency"": ""0"", ""percent"": ""0""}, {""variable_name"": ""LUC_RST"", ""label"": ""Not stated"", ""code"": ""9"", ""frequency"": ""0"", ""weighted_frequency"": ""0"", ""percent"": ""0""}]"
PRV,2.0,44,,Province of residence of the respondent,,All respondents,This derived variable indicates the province of residence of the respondent.,"General Social Survey, Caregiving and Care Receiving, 2018, derived from PCODE.","[{""variable_name"": ""PRV"", ""label"": ""Newfoundland and Labrador"", ""code"": ""10"", ""frequency"": ""1070"", ""weighted_frequency"": ""446107"", ""percent"": ""1.5""}, {""variable_name"": ""PRV"", ""label"": ""Prince Edward Island"", ""code"": ""11"", ""frequency"": ""582"", ""weighted_frequency"": ""126360"", ""percent"": ""0.4""}, {""variable_name"": ""PRV"", ""label"": ""Nova Scotia"", ""code"": ""12"", ""frequency"": ""1394"", ""weighted_frequency"": ""815064"", ""percent"": ""2.7""}, {""variable_name"": ""PRV"", ""label"": ""New Brunswick"", ""code"": ""13"", ""frequency"": ""1323"", ""weighted_frequency"": ""639138"", ""percent"": ""2.1""}, {""variable_name"": ""PRV"", ""label"": ""Quebec"", ""code"": ""24"", ""frequency"": ""3309"", ""weighted_frequency"": ""7052561"", ""percent"": ""22.9""}, {""variable_name"": ""PRV"", ""label"": ""Ontario"", ""code"": ""35"", ""frequency"": ""5449"", ""weighted_frequency"": ""12011853"", ""percent"": ""39.1""}, {""variable_name"": ""PRV"", ""label"": ""Manitoba"", ""code"": ""46"", ""frequency"": ""1187"", ""weighted_frequency"": ""1081483"", ""percent"": ""3.5""}, {""variable_name"": ""PRV"", ""label"": ""Saskatchewan"", ""code"": ""47"", ""frequency"": ""1391"", ""weighted_frequency"": ""933241"", ""percent"": ""3.0""}, {""variable_name"": ""PRV"", ""label"": ""Alberta"", ""code"": ""48"", ""frequency"": ""1747"", ""weighted_frequency"": ""3528440"", ""percent"": ""11.5""}, {""variable_name"": ""PRV"", ""label"": ""British Columbia"", ""code"": ""59"", ""frequency"": ""2806"", ""weighted_frequency"": ""4120938"", ""percent"": ""13.4""}, {""variable_name"": ""PRV"", ""label"": ""Valid skip"", ""code"": ""96"", ""frequency"": ""0"", ""weighted_frequency"": ""0"", ""percent"": ""0""}, {""variable_name"": ""PRV"", ""label"": ""Don't know"", ""code"": ""97"", ""frequency"": ""0"", ""weighted_frequency"": ""0"", ""percent"": ""0""}, {""variable_name"": ""PRV"", ""label"": ""Refusal"", ""code"": ""98"", ""frequency"": ""0"", ""weighted_frequency"": ""0"", ""percent"": ""0""}, {""variable_name"": ""PRV"", ""label"": ""Not stated"", ""code"": ""99"", ""frequency"": ""0"", ""weighted_frequency"": ""0"", ""percent"": ""0""}]"
NLC_100C,1.0,46,,Number of respondent's children,,All respondents.,,"General Social Survey, Caregiving and Care Receiving, 2018.","[{""variable_name"": ""NLC_100C"", ""label"": ""None"", ""code"": ""0"", ""frequency"": ""5616"", ""weighted_frequency"": ""11012876"", ""percent"": ""35.8""}, {""variable_name"": ""NLC_100C"", ""label"": ""One"", ""code"": ""1"", ""frequency"": ""2958"", ""weighted_frequency"": ""3877667"", ""percent"": ""12.6""}, {""variable_name"": ""NLC_100C"", ""label"": ""Two"", ""code"": ""2"", ""frequency"": ""6456"", ""weighted_frequency"": ""8699223"", ""percent"": ""28.3""}, {""variable_name"": ""NLC_100C"", ""label"": ""Three"", ""code"": ""3"", ""frequency"": ""3020"", ""weighted_frequency"": ""4231864"", ""percent"": ""13.8""}, {""variable_name"": ""NLC_100C"", ""label"": ""Four"", ""code"": ""4"", ""frequency"": ""1250"", ""weighted_frequency"": ""1667388"", ""percent"": ""5.4""}, {""variable_name"": ""NLC_100C"", ""label"": ""Five or more children"", ""code"": ""5"", ""frequency"": ""776"", ""weighted_frequency"": ""992588"", ""percent"": ""3.2""}, {""variable_name"": ""NLC_100C"", ""label"": ""Valid skip"", ""code"": ""6"", ""frequency"": ""0"", ""weighted_frequency"": ""0"", ""percent"": ""0""}, {""variable_name"": ""NLC_100C"", ""label"": ""Don't know"", ""code"": ""7"", ""frequency"": ""0"", ""weighted_frequency"": ""0"", ""percent"": ""0""}, {""variable_name"": ""NLC_100C"", ""label"": ""Refusal"", ""code"": ""8"", ""frequency"": ""0"", ""weighted_frequency"": ""0"", ""percent"": ""0""}, {""variable_name"": ""NLC_100C"", ""label"": ""Not stated"", ""code"": ""9"", ""frequency"": ""182"", ""weighted_frequency"": ""273578"", ""percent"": ""0.9""}]"
LMAM_01,1.0,47,LMAM_Q01,Employment - Worked during reference week,"Last week, did you work at a job or business?",All respondents,"The definition of ""reference week"" for the labour force and labour market activities ques-
tions was based on the date of the interview. It was the most recently completed seven
day period beginning on a Sunday and ending on the following Saturday.","General Social Survey, Caregiving and Care Receiving, 2018.","[{""variable_name"": ""LMAM_01"", ""label"": ""Y es"", ""code"": ""1"", ""frequency"": ""10243"", ""weighted_frequency"": ""17481681"", ""percent"": ""56.8""}, {""variable_name"": ""LMAM_01"", ""label"": ""No"", ""code"": ""2"", ""frequency"": ""9971"", ""weighted_frequency"": ""13179714"", ""percent"": ""42.9""}, {""variable_name"": ""LMAM_01"", ""label"": ""Valid skip"", ""code"": ""6"", ""frequency"": ""0"", ""weighted_frequency"": ""0"", ""percent"": ""0""}, {""variable_name"": ""LMAM_01"", ""label"": ""Don't know"", ""code"": ""7"", ""frequency"": ""0"", ""weighted_frequency"": ""0"", ""percent"": ""0""}, {""variable_name"": ""LMAM_01"", ""label"": ""Refusal"", ""code"": ""8"", ""frequency"": ""0"", ""weighted_frequency"": ""0"", ""percent"": ""0""}, {""variable_name"": ""LMAM_01"", ""label"": ""Not stated"", ""code"": ""9"", ""frequency"": ""44"", ""weighted_frequency"": ""93790"", ""percent"": ""0.3""}]"
LMAM_02,1.0,48,LMAM_Q02,Employment - Absence from job/business during reference week,"Last week, did you have a job or business from which you were absent?",LMAM_01 = 2,"The definition of ""reference week"" for the labour force and labour market activities ques-
tions was based on the date of the interview. It was the most recently completed seven
day period beginning on a Sunday and ending on the following Saturday.","General Social Survey, Caregiving and Care Receiving, 2018.","[{""variable_name"": ""LMAM_02"", ""label"": ""Y es"", ""code"": ""1"", ""frequency"": ""859"", ""weighted_frequency"": ""1241284"", ""percent"": ""4.0""}, {""variable_name"": ""LMAM_02"", ""label"": ""No"", ""code"": ""2"", ""frequency"": ""9073"", ""weighted_frequency"": ""11889482"", ""percent"": ""38.7""}, {""variable_name"": ""LMAM_02"", ""label"": ""Valid skip"", ""code"": ""6"", ""frequency"": ""10287"", ""weighted_frequency"": ""17575471"", ""percent"": ""57.1""}, {""variable_name"": ""LMAM_02"", ""label"": ""Don't know"", ""code"": ""7"", ""frequency"": ""0"", ""weighted_frequency"": ""0"", ""percent"": ""0""}, {""variable_name"": ""LMAM_02"", ""label"": ""Refusal"", ""code"": ""8"", ""frequency"": ""0"", ""weighted_frequency"": ""0"", ""percent"": ""0""}, {""variable_name"": ""LMAM_02"", ""label"": ""Not stated"", ""code"": ""9"", ""frequency"": ""39"", ""weighted_frequency"": ""48947"", ""percent"": ""0.2""}]"
LPY_01,1.0,49,LPY_Q01,Employment - Worked in past 12 months,"In the past 12 months, did you work at a job or business?","(LMAM_01 NE 1) and (LMAM_02 NE 1) or (LMAM_03 NE 1, 2, 3, 4, 5, 6, 7, 11, 12, 13
or 14)",,"General Social Survey, Caregiving and Care Receiving, 2018.","[{""variable_name"": ""LPY_01"", ""label"": ""Y es"", ""code"": ""1"", ""frequency"": ""1223"", ""weighted_frequency"": ""2391650"", ""percent"": ""7.8""}, {""variable_name"": ""LPY_01"", ""label"": ""No"", ""code"": ""2"", ""frequency"": ""7793"", ""weighted_frequency"": ""9533858"", ""percent"": ""31.0""}, {""variable_name"": ""LPY_01"", ""label"": ""Valid skip"", ""code"": ""6"", ""frequency"": ""11014"", ""weighted_frequency"": ""18623046"", ""percent"": ""60.6""}, {""variable_name"": ""LPY_01"", ""label"": ""Don't know"", ""code"": ""7"", ""frequency"": ""0"", ""weighted_frequency"": ""0"", ""percent"": ""0""}, {""variable_name"": ""LPY_01"", ""label"": ""Refusal"", ""code"": ""8"", ""frequency"": ""0"", ""weighted_frequency"": ""0"", ""percent"": ""0""}, {""variable_name"": ""LPY_01"", ""label"": ""Not stated"", ""code"": ""9"", ""frequency"": ""228"", ""weighted_frequency"": ""206631"", ""percent"": ""0.7""}]"
